Model,Forecast_Multiplier,Total_Cost,CashOut_Days,Refill_Count,Total_Refilled,Delta_Cost_%,Delta_RefillCount,Delta_TotalRefilled,RefillDays_Jaccard_vs_Base
LSTM,0.97,1120613.5561990002,0,297,112061355.6199,-3.064876424018048,0,-3543134.7710999995,1.0
LSTM,0.971,1121794.601857,0,297,112179460.1857,-2.9627138130325026,0,-3425030.2053000033,1.0
LSTM,0.972,1122975.644216,0,297,112297564.4216,-2.860551487416463,0,-3306925.9694000036,1.0
LSTM,0.973,1124156.691384,0,297,112415669.13839999,-2.758388745813145,0,-3188821.252600014,1.0
LSTM,0.974,1125337.735083,0,297,112533773.5083,-2.65622630428467,0,-3070716.8826999962,1.0
LSTM,0.975,1126518.778991,0,297,112651877.8991,-2.5540638446773123,0,-2952612.491899997,1.0
LSTM,0.976,1127699.82431,0,297,112769982.431,-2.4519012630158654,0,-2834507.9600000083,1.0
LSTM,0.977,1128880.8694489999,0,297,112888086.9449,-2.3497386969247636,0,-2716403.4460999966,1.0
LSTM,0.978,1130061.913867,0,297,113006191.3867,-2.2475761932014615,0,-2598299.0042999983,1.0
LSTM,0.979,1131242.9589860002,0,297,113124295.8986,-2.145413628840376,0,-2480194.4924000055,1.0
LSTM,0.98,1132424.0036240001,0,297,113242400.3624,-2.0432511060866743,0,-2362090.0286000073,1.0
LSTM,0.981,1133605.0498330002,0,297,113360504.9833,-1.9410884474385992,0,-2243985.407700002,1.0
LSTM,0.982,1134786.0937510002,0,297,113478609.37510002,-1.8389259869662222,0,-2125881.015899986,1.0
LSTM,0.983,1135967.14149,0,297,113596714.14899999,-1.7367631959703589,0,-2007776.2420000136,1.0
LSTM,0.984,1137148.185608,0,297,113714818.56080002,-1.6346007181976208,0,-1889671.8301999867,1.0
LSTM,0.985,1138329.229337,0,297,113832922.93370001,-1.5324382740740883,0,-1771567.4572999924,1.0
LSTM,0.986,1139510.275655,0,297,113951027.5655,-1.430275605997322,0,-1653462.8254999965,1.0
LSTM,0.987,1140691.31948,0,297,114069131.948,-1.32811315356961,0,-1535358.4430000037,1.0
LSTM,0.988,1141872.36411,0,297,114187236.41099998,-1.2259506315079327,0,-1417253.980000019,1.0
LSTM,0.989,1143053.40762,0,297,114305340.762,-1.1237882063283022,0,-1299149.629000008,1.0
LSTM,0.99,1144234.45456,0,297,114423445.456,-1.021625484447386,0,-1181044.9350000024,1.0
LSTM,0.991,1145415.49627,0,297,114541549.627,-0.9194632149710502,0,-1062940.7639999986,1.0
LSTM,0.992,1146596.54441,0,297,114659654.441,-0.8173003892879338,0,-944835.950000003,1.0
LSTM,0.993,1147777.58812,0,297,114777758.812,-0.7151379468079533,0,-826731.5789999962,1.0
LSTM,0.994,1148958.63445,0,297,114895863.445,-0.6129752776931507,0,-708626.9460000098,1.0
LSTM,0.995,1150139.67677,0,297,115013967.67700002,-0.5108129554507013,0,-590522.7139999866,1.0
LSTM,0.996,1151320.72472,0,297,115132072.472,-0.40865014620293794,0,-472417.91899999976,1.0
LSTM,0.997,1152501.7678399999,0,297,115250176.78400001,-0.3064877547590328,0,-354313.6069999933,1.0
LSTM,0.998,1153682.81267,0,297,115368281.267,-0.20432521539698323,0,-236209.12399999797,1.0
LSTM,0.999,1154863.85879,0,297,115486385.87900001,-0.1021625644475721,0,-118104.51199999452,1.0
LSTM,1.0,1156044.9039099999,0,297,115604490.391,0.0,0,0.0,1.0
LSTM,1.001,1157225.94643,0,297,115722594.64299999,0.10216233954283283,0,118104.25199998915,1.0
LSTM,1.002,1158406.99325,0,297,115840699.32499999,0.20432505104353016,0,236208.93399998546,1.0
LSTM,1.003,1159588.03868,0,297,115958803.868,0.30648764230667425,0,354313.4769999981,1.0
LSTM,1.004,1160769.0822,0,297,116076908.22,0.4086500683513128,0,472417.8289999962,1.0
LSTM,1.005,1161950.12751,0,297,116195012.751,0.5108126492342491,0,590522.3599999994,1.0
LSTM,1.006,1163131.17226,0,297,116313117.226,0.6129751816761342,0,708626.8349999934,1.0
LSTM,1.007,1164312.21706,0,297,116431221.706,0.7151377184431373,0,826731.3149999976,1.0
LSTM,1.008,1165493.26298,0,297,116549326.29800001,0.8173003520921984,0,944835.9070000052,1.0
LSTM,1.009,1166674.30803,0,297,116667430.803,0.9194629104846364,0,1062940.4120000005,1.0
LSTM,1.01,1167855.35208,0,297,116785535.208,1.0216253823752686,0,1181044.8170000017,1.0
LSTM,1.011,1169036.3979699998,0,297,116903639.797,1.1237880134292277,0,1299149.4060000032,1.0
LSTM,1.012,1170217.4426,0,297,117021744.26,1.225950535490905,0,1417253.8690000027,1.0
LSTM,1.013,1171398.48734,0,297,117139848.734,1.3281130670677932,0,1535358.3429999948,1.0
LSTM,1.014,1172579.5321300002,0,297,117257953.213,1.4302756029697994,0,1653462.821999997,1.0
LSTM,1.015,1173760.57758,0,297,117376057.758,1.5324381959629596,0,1771567.3669999987,1.0
LSTM,1.016,1174941.6205799999,0,297,117494162.058,1.6346005770266459,0,1889671.6669999957,1.0
LSTM,1.017,1176122.6670300001,0,297,117612266.70300001,1.7367632565216784,0,2007776.3120000064,1.0
LSTM,1.018,1177303.71074,0,297,117730371.074,1.838925699001659,0,2125880.6829999983,1.0
LSTM,1.019,1178484.7560700001,0,297,117848475.607,1.9410882816146335,0,2243985.2159999907,1.0
LSTM,1.02,1179665.8015,0,297,117966580.14999999,2.0432508728777776,0,2362089.7589999884,1.0
LSTM,1.021,1180846.84452,0,297,118084684.452,2.1454132556715244,0,2480194.0610000044,1.0
LSTM,1.022,1182027.8904400002,0,297,118202789.044,2.2475758893205633,0,2598298.652999997,1.0
LSTM,1.023,1183208.9348400002,0,297,118320893.484,2.349738391486844,0,2716403.0929999948,1.0
LSTM,1.024,1184389.9816800002,0,297,118438998.16800001,2.4519011047175576,0,2834507.77700001,1.0
LSTM,1.025,1185571.0249800002,0,297,118557102.498,2.5540635117317967,0,2952612.1069999933,1.0
LSTM,1.026,1186752.07021,0,297,118675207.021,2.6562260856945796,0,3070716.629999995,1.0
LSTM,1.027,1187933.11642,0,297,118793311.64199999,2.758388744429152,0,3188821.250999987,1.0
LSTM,1.028,1189114.15945,0,297,118911415.945,2.860551128087896,0,3306925.55399999,1.0
LSTM,1.029,1190295.20487,0,297,119029520.48699999,2.962713718486021,0,3425030.095999986,1.0
LSTM,1.03,1191476.24927,0,297,119147624.92700002,3.0648762206522795,0,3543134.5360000134,1.0
LSTM,1.031,1192657.29451,0,297,119265729.451,3.1670387954800816,0,3661239.0600000024,1.0
LSTM,1.032,1193838.33922,0,297,119383833.922,3.2692013244619123,0,3779343.531000003,1.0
LSTM,1.033,1195019.38591,0,297,119501938.59099999,3.3713640247173604,0,3897448.199999988,0.9932885906040269
