ATM,Date,Refill_Amount,Stock,Refilled,Out_of_Cash,Day_Cost,Predicted_Withdrawal
2,2006-03-19,0.0,0.0,0,0,0.0,83838.25435477802
3,2006-03-13,0.0,126551.27,0,0,0.0,11067.531240389664
3,2006-03-14,0.0,109109.74,0,0,0.0,17441.529173681163
3,2006-03-15,0.0,89865.161,0,0,0.0,19244.57905893384
3,2006-03-16,0.0,60691.604,0,0,0.0,29173.556067272155
3,2006-03-17,154156.6,156895.57,1,0,1541.566,57952.63062967855
3,2006-03-18,0.0,73811.489,0,0,0.0,83084.08527721459
3,2006-03-19,0.001,0.0,1,0,1e-05,73811.49020264365
4,2006-03-13,447121.0,443795.23,1,0,4471.21,21452.405817340918
4,2006-03-14,0.0,419854.62,0,0,0.0,23940.610296237952
4,2006-03-15,0.0,378983.69,0,0,0.0,40870.9265638012
4,2006-03-16,0.0,320339.8,0,0,0.0,58643.88978118495
4,2006-03-17,0.0,219341.82,0,0,0.0,100997.9819636378
4,2006-03-18,0.0,103601.3,0,0,0.0,115740.5143901554
4,2006-03-19,0.0,0.0,0,0,0.0,103601.30399321452
5,2006-03-13,292843.46,265879.94,1,0,2928.4346,26963.515409716038
5,2006-03-14,0.0,236135.73,0,0,0.0,29744.2129489789
5,2006-03-15,0.0,203059.25,0,0,0.0,33076.48506309262
5,2006-03-16,0.0,159955.2,0,0,0.0,43104.04630567903
5,2006-03-17,0.0,107818.92,0,0,0.0,52136.27449390352
5,2006-03-18,0.0,56891.915,0,0,0.0,50927.01001883524
5,2006-03-19,0.0,0.0,0,0,0.0,56891.91485414631
1,2006-03-20,1063942.8,970559.51,1,0,10639.428,93383.32608583024
1,2006-03-21,0.0,822807.35,0,0,0.0,147752.15497656562
1,2006-03-22,0.0,617819.71,0,0,0.0,204987.64369956544
1,2006-03-23,0.0,442285.94,0,0,0.0,175533.7695721523
1,2006-03-24,0.0,299508.91,0,0,0.0,142777.0259508274
1,2006-03-25,0.0,149874.45,0,0,0.0,149634.45957882074
1,2006-03-26,0.0,0.0,0,0,0.0,149874.45198865753
2,2006-03-20,981267.28,894806.07,1,0,9812.6728,86461.20734532963
2,2006-03-21,0.0,767792.47,0,0,0.0,127013.60614302574
2,2006-03-22,0.0,611209.21,0,0,0.0,156583.25515813613
2,2006-03-23,0.0,449138.24,0,0,0.0,162070.97519058306
2,2006-03-24,0.0,283292.36,0,0,0.0,165845.87404354473
2,2006-03-25,0.0,138671.4,0,0,0.0,144620.96223597688
2,2006-03-26,0.0,0.0,0,0,0.0,138671.40007709683
3,2006-03-20,771537.25,694352.83,1,0,7715.3725,77184.4226796939
3,2006-03-21,0.0,583627.11,0,0,0.0,110725.7139738374
3,2006-03-22,0.0,448748.54,0,0,0.0,134878.56921220676
3,2006-03-23,0.0,318049.09,0,0,0.0,130699.45515243462
3,2006-03-24,0.0,216685.13,0,0,0.0,101363.95817723538
3,2006-03-25,0.0,98438.309,0,0,0.0,118246.82078354596
3,2006-03-26,0.0,0.0,0,0,0.0,98438.30882225174
4,2006-03-20,986107.95,888633.11,1,0,9861.0795,97474.83659199189
4,2006-03-21,0.0,742069.63,0,0,0.0,146563.4874694785
4,2006-03-22,0.0,565890.18,0,0,0.0,176179.44333169615
4,2006-03-23,0.0,401961.43,0,0,0.0,163928.75349375344
4,2006-03-24,0.0,255538.73,0,0,0.0,146422.6985095262
4,2006-03-25,0.0,126701.39,0,0,0.0,128837.34224413216
4,2006-03-26,0.0,0.0,0,0,0.0,126701.38859798908
5,2006-03-20,697367.18,638371.94,1,0,6973.671800000001,58995.24349410045
5,2006-03-21,0.0,544291.02,0,0,0.0,94080.91855288442
5,2006-03-22,0.0,431535.68,0,0,0.0,112755.34114108366
5,2006-03-23,0.0,317574.59,0,0,0.0,113961.08592427714
5,2006-03-24,0.0,204219.11,0,0,0.0,113355.4849980043
5,2006-03-25,0.0,104542.23,0,0,0.0,99676.87950279962
5,2006-03-26,0.0,0.0,0,0,0.0,104542.22827388336
1,2006-03-27,692773.91,552024.3,1,0,6927.739100000001,140749.60557931906
1,2006-03-28,0.0,426510.06,0,0,0.0,125514.2443969447
1,2006-03-29,0.0,321165.8,0,0,0.0,105344.2605282818
1,2006-03-30,0.0,216498.03,0,0,0.0,104667.76553703044
1,2006-03-31,0.0,126482.5,0,0,0.0,90015.53757359847
1,2006-04-01,0.0,73606.049,0,0,0.0,52876.44648979189
1,2006-04-02,0.0,0.0,0,0,0.0,73606.04914694163
2,2006-03-27,730645.27,601047.77,1,0,7306.452700000001,129597.49938531814
2,2006-03-28,0.0,453112.67,0,0,0.0,147935.0986068495
2,2006-03-29,0.0,330344.87,0,0,0.0,122767.80272711242
2,2006-03-30,0.0,222597.45,0,0,0.0,107747.422428502
2,2006-03-31,0.0,128724.72,0,0,0.0,93872.73077726578
2,2006-04-01,0.0,69335.35,0,0,0.0,59389.36715249898
2,2006-04-02,0.0,0.0,0,0,0.0,69335.34959746816
3,2006-03-27,354665.18,278171.16,1,0,3546.6518,76494.01915169891
3,2006-03-28,0.0,187606.7,0,0,0.0,90564.45788824212
3,2006-03-29,0.0,131447.73,0,0,0.0,56158.97014774215
3,2006-03-30,0.0,78101.484,0,0,0.0,53346.24406812288
3,2006-03-31,0.0,48806.475,0,0,0.0,29295.009198086234
3,2006-04-01,0.0,35165.577,0,0,0.0,13640.89802172964
3,2006-04-02,0.0,0.0,0,0,0.0,35165.576971230446
4,2006-03-27,473516.23,397954.34,1,0,4735.1623,75561.88830388818
4,2006-03-28,0.0,295085.59,0,0,0.0,102868.7522335776
4,2006-03-29,0.0,202659.52,0,0,0.0,92426.07525012932
4,2006-03-30,0.0,119222.34,0,0,0.0,83437.17029901208
4,2006-03-31,0.0,61936.754,0,0,0.0,57285.59074234968
4,2006-04-01,0.0,52763.408,0,0,0.0,9173.345744933336
4,2006-04-02,0.0,0.0,0,0,0.0,52763.40843621385
5,2006-03-27,422649.8,331257.08,1,0,4226.498,91392.71189239089
5,2006-03-28,0.0,236946.58,0,0,0.0,94310.50895563484
5,2006-03-29,0.0,163445.95,0,0,0.0,73500.62475229232
5,2006-03-30,0.0,103533.26,0,0,0.0,59912.69503989802
5,2006-03-31,0.0,58192.371,0,0,0.0,45340.88515045658
5,2006-04-01,0.0,43100.451,0,0,0.0,15091.919902778449
5,2006-04-02,0.0,0.0,0,0,0.0,43100.45061610853
1,2006-04-03,829662.36,763797.85,1,0,8296.6236,65864.50801911582
1,2006-04-04,0.0,658193.04,0,0,0.0,105604.81331361095
1,2006-04-05,0.0,529588.78,0,0,0.0,128604.26279046571
1,2006-04-06,0.0,357362.21,0,0,0.0,172226.5724033398
1,2006-04-07,0.0,210385.17,0,0,0.0,146977.03122806194
1,2006-04-08,0.0,100522.57,0,0,0.0,109862.6076984986
1,2006-04-09,0.0,0.0,0,0,0.0,100522.56645113564
2,2006-04-03,787573.44,720182.03,1,0,7875.734399999999,67391.4155148129
2,2006-04-04,0.0,617586.25,0,0,0.0,102595.77727656398
2,2006-04-05,0.0,498006.51,0,0,0.0,119579.74156587706
2,2006-04-06,0.0,343197.1,0,0,0.0,154809.40846815295
2,2006-04-07,0.0,203884.65,0,0,0.0,139312.4472230018
2,2006-04-08,0.0,97386.193,0,0,0.0,106498.45975826836
2,2006-04-09,0.0,0.0,0,0,0.0,97386.19336269124
3,2006-04-03,322419.66,312797.46,1,0,3224.1965999999998,9622.199826672411
3,2006-04-04,0.0,272010.7,0,0,0.0,40786.76196695986
3,2006-04-05,0.0,210776.99,0,0,0.0,61233.70666533916
3,2006-04-06,0.0,127558.12,0,0,0.0,83218.87065914627
3,2006-04-07,0.0,67713.598,0,0,0.0,59844.52522803382
3,2006-04-08,0.0,35619.542,0,0,0.0,32094.05567944285
3,2006-04-09,0.0,0.0,0,0,0.0,35619.541903470184
4,2006-04-03,436980.69,418061.54,1,0,4369.8069000000005,18919.14642447185
4,2006-04-04,0.0,360944.66,0,0,0.0,57116.88095464412
4,2006-04-05,0.0,283644.79,0,0,0.0,77299.86749879614
4,2006-04-06,0.0,175589.14,0,0,0.0,108055.64979674952
4,2006-04-07,0.0,77883.296,0,0,0.0,97705.84913498691
4,2006-04-08,0.0,38543.382,0,0,0.0,39339.91374128386
4,2006-04-09,0.0,0.0,0,0,0.0,38543.38206483794
5,2006-04-03,595730.91,554729.42,1,0,5957.3091,41001.49464690632
5,2006-04-04,0.0,467655.13,0,0,0.0,87074.29050387508
5,2006-04-05,0.0,369834.11,0,0,0.0,97821.02233519984
5,2006-04-06,0.0,242692.06,0,0,0.0,127142.04337793496
5,2006-04-07,0.0,139703.37,0,0,0.0,102988.69690132664
5,2006-04-08,0.0,69759.882,0,0,0.0,69943.48567839492
5,2006-04-09,0.0,0.0,0,0,0.0,69759.88154825258
1,2006-04-10,488296.55,403887.92,1,0,4882.9655,84408.62389849304
1,2006-04-11,0.0,312759.36,0,0,0.0,91128.56547563543
1,2006-04-12,0.0,248165.27,0,0,0.0,64594.08478545183
1,2006-04-13,0.0,176187.92,0,0,0.0,71977.35129102439
1,2006-04-14,0.0,106195.13,0,0,0.0,69992.7937903154
1,2006-04-15,0.0,66394.571,0,0,0.0,39800.557732972055
1,2006-04-16,0.0,0.0,0,0,0.0,66394.5707206383
2,2006-04-10,562651.36,471466.5,1,0,5626.5136,91184.85726984356
2,2006-04-11,0.0,372609.91,0,0,0.0,98856.59381273782
2,2006-04-12,0.0,279133.98,0,0,0.0,93475.93054462402
2,2006-04-13,0.0,186922.36,0,0,0.0,92211.618559668
2,2006-04-14,0.0,102559.94,0,0,0.0,84362.42462514676
2,2006-04-15,0.0,54740.207,0,0,0.0,47819.72888148518
2,2006-04-16,0.0,0.0,0,0,0.0,54740.207269398015
3,2006-04-10,134748.24,103924.24,1,0,1347.4823999999999,30823.99815771057
3,2006-04-11,0.0,74215.229,0,0,0.0,29709.0110158054
3,2006-04-12,0.0,67743.878,0,0,0.0,6471.351821370998
3,2006-04-13,0.0,46894.074,0,0,0.0,20849.80317645273
3,2006-04-14,0.0,22591.05,0,0,0.0,24303.024391707524
3,2006-04-15,0.0,19090.605,0,0,0.0,3500.445108779088
3,2006-04-16,0.0,0.0,0,0,0.0,19090.60497708433
4,2006-04-10,259507.77,224271.95,1,0,2595.0777,35235.8132919071
4,2006-04-11,0.0,173131.37,0,0,0.0,51140.579974376895
4,2006-04-12,0.0,141418.75,0,0,0.0,31712.62479375684
4,2006-04-13,0.0,91355.32,0,0,0.0,50063.428943857616
4,2006-04-14,0.0,39163.156,0,0,0.0,52192.16399650357
4,2006-04-15,0.0,30233.651,0,0,0.0,8929.505408915313
4,2006-04-16,0.0,0.0,0,0,0.0,30233.65075634719
5,2006-04-10,243188.52,193541.84,1,0,2431.8852,49646.67703170045
5,2006-04-11,0.0,139186.59,0,0,0.0,54355.25240835621
5,2006-04-12,0.0,107417.99,0,0,0.0,31768.60038949741
