           Model      ATM       Date  Predicted_Withdrawal  Refill_Amount   Stock  Refilled  Out_of_Cash  Day_Cost
LinearRegression Z0646002 2006-08-26                43,353              0  39,629         0            0         0
LinearRegression Z0646002 2006-08-27                39,629              0       0         0            0         0
LinearRegression Z1031001 2006-08-21                36,237              0 129,616         0            0         0
LinearRegression Z1031001 2006-08-22                18,057              0 111,559         0            0         0
LinearRegression Z1031001 2006-08-23                 7,449              0 104,110         0            0         0
LinearRegression Z1031001 2006-08-24                 3,634              0 100,476         0            0         0
LinearRegression Z1031001 2006-08-25                 3,855              0  96,620         0            0         0
LinearRegression Z1031001 2006-08-26                 7,570              0  89,050         0            0         0
LinearRegression Z1031001 2006-08-27                 3,936              0  85,114         0            0         0
LinearRegression Z1524001 2006-08-21                49,055        301,766 252,710         1            0     3,018
LinearRegression Z1524001 2006-08-22                39,468              0 213,242         0            0         0
LinearRegression Z1524001 2006-08-23                40,538              0 172,704         0            0         0
LinearRegression Z1524001 2006-08-24                33,721              0 138,982         0            0         0
LinearRegression Z1524001 2006-08-25                38,587              0 100,395         0            0         0
LinearRegression Z1524001 2006-08-26                69,852              0  30,543         0            0         0
LinearRegression Z1524001 2006-08-27                30,543              0       0         0            0         0
LinearRegression Z0276001 2006-08-28                60,465        272,754 212,289         1            0     2,728
LinearRegression Z0276001 2006-08-29                44,175              0 168,114         0            0         0
LinearRegression Z0276001 2006-08-30                54,016              0 114,098         0            0         0
LinearRegression Z0276001 2006-08-31                38,545              0  75,553         0            0         0
LinearRegression Z0276001 2006-09-01                44,014              0  31,538         0            0         0
LinearRegression Z0276001 2006-09-02                21,987              0   9,551         0            0         0
LinearRegression Z0276001 2006-09-03                 9,551              0       0         0            0         0
LinearRegression Z0386002 2006-08-28                88,854        246,514 157,659         1            0     2,465
LinearRegression Z0386002 2006-08-29                51,483              0 106,177         0            0         0
LinearRegression Z0386002 2006-08-30                43,827              0  62,350         0            0         0
LinearRegression Z0386002 2006-08-31                21,577              0  40,773         0            0         0
LinearRegression Z0386002 2006-09-01                24,231              0  16,542         0            0         0
LinearRegression Z0386002 2006-09-02                 9,662              0   6,879         0            0         0
LinearRegression Z0386002 2006-09-03                 6,879              0       0         0            0         0
LinearRegression Z0646002 2006-08-28               101,384        431,425 330,041         1            0     4,314
LinearRegression Z0646002 2006-08-29               117,817              0 212,224         0            0         0
LinearRegression Z0646002 2006-08-30                83,142              0 129,082         0            0         0
LinearRegression Z0646002 2006-08-31                42,221              0  86,861         0            0         0
LinearRegression Z0646002 2006-09-01                43,755              0  43,106         0            0         0
LinearRegression Z0646002 2006-09-02                35,102              0   8,004         0            0         0
LinearRegression Z0646002 2006-09-03                 8,004              0       0         0            0         0
LinearRegression Z1031001 2006-08-28                19,711              0  65,403         0            0         0
LinearRegression Z1031001 2006-08-29                 8,828              0  56,575         0            0         0
LinearRegression Z1031001 2006-08-30                 8,141              0  48,434         0            0         0
LinearRegression Z1031001 2006-08-31                10,660              0  37,775         0            0         0
LinearRegression Z1031001 2006-09-01                 4,108              0  33,667         0            0         0
LinearRegression Z1031001 2006-09-02                11,405              0  22,262         0            0         0
LinearRegression Z1031001 2006-09-03                 3,703              0  18,559         0            0         0
LinearRegression Z1524001 2006-08-28                73,663        281,081 207,418         1            0     2,811
LinearRegression Z1524001 2006-08-29                51,188              0 156,230         0            0         0
