"ATM_ID,""ATM_NUMBER"",""DATE"",""ATM_WITHDRWLS"",""ATM_WITHDRWLS_SCALED"",""DAY_OF_WEEK"",""DAY_IN_MONTH"",""MONTH"",""YEAR"",""ATM_WITHDRWLS_1WEEKAGO"",""ATM_WITHDRWLS_2WEEKAGO"",""AVG_ATM_WITHDRW_PREVMONTH"",""FIRSTWORKDAY"",""LASTWORKDAY"",""IsSaturday"",""IsSunday"",""HOLIDAY"""
"Z1899001,""5"",""19/02/2008"",""0"",""0"",""3"",""19"",""2"",""2008"",""25205"",""116375"",""49460.806"",""0"",""0"",""0"",""0"",""0"""
"Z0241002,""1"",""18/02/2008"",""165230"",""0.48"",""2"",""18"",""2"",""2008"",""78115"",""179550"",""132211.29"",""0"",""0"",""0"",""0"",""0"""
"Z0951001,""2"",""18/02/2008"",""61510"",""0.18"",""2"",""18"",""2"",""2008"",""68050"",""145055"",""79073.548"",""0"",""0"",""0"",""0"",""0"""
"Z1031001,""3"",""18/02/2008"",""67700"",""0.2"",""2"",""18"",""2"",""2008"",""14760"",""68930"",""26081.29"",""0"",""0"",""0"",""0"",""0"""
"Z1119001,""4"",""18/02/2008"",""213465"",""0.62"",""2"",""18"",""2"",""2008"",""28970"",""75380"",""84674.355"",""0"",""0"",""0"",""0"",""0"""
"Z1899001,""5"",""18/02/2008"",""31620"",""0.09"",""2"",""18"",""2"",""2008"",""15125"",""89875"",""45321.129"",""0"",""0"",""0"",""0"",""0"""
"Z0241002,""1"",""17/02/2008"",""67640"",""0.2"",""1"",""17"",""2"",""2008"",""40800"",""73950"",""131629.032"",""1"",""0"",""0"",""0"",""0"""
"Z0951001,""2"",""17/02/2008"",""22940"",""0.07"",""1"",""17"",""2"",""2008"",""25530"",""31900"",""78592.903"",""1"",""0"",""0"",""0"",""0"""
"Z1031001,""3"",""17/02/2008"",""4240"",""0.01"",""1"",""17"",""2"",""2008"",""8880"",""11620"",""25175.806"",""1"",""0"",""0"",""0"",""0"""
"Z1119001,""4"",""17/02/2008"",""58045"",""0.17"",""1"",""17"",""2"",""2008"",""12030"",""0"",""83400.323"",""1"",""0"",""0"",""0"",""0"""
"Z1899001,""5"",""17/02/2008"",""14610"",""0.04"",""1"",""17"",""2"",""2008"",""4920"",""200"",""45032.097"",""1"",""0"",""0"",""0"",""0"""
"Z0241002,""1"",""16/02/2008"",""86160"",""0.25"",""7"",""16"",""2"",""2008"",""85940"",""222520"",""126278.065"",""0"",""1"",""0"",""1"",""0"""
"Z0951001,""2"",""16/02/2008"",""43550"",""0.13"",""7"",""16"",""2"",""2008"",""42355"",""92520"",""75518.71"",""0"",""1"",""0"",""1"",""0"""
"Z1031001,""3"",""16/02/2008"",""16630"",""0.05"",""7"",""16"",""2"",""2008"",""9730"",""18590"",""24325.806"",""0"",""1"",""0"",""1"",""0"""
"Z1119001,""4"",""16/02/2008"",""97285"",""0.28"",""7"",""16"",""2"",""2008"",""25645"",""74185"",""77030.968"",""0"",""1"",""0"",""1"",""0"""
"Z1899001,""5"",""16/02/2008"",""22800"",""0.07"",""7"",""16"",""2"",""2008"",""13065"",""34030"",""43417.258"",""0"",""1"",""0"",""1"",""0"""
"Z0241002,""1"",""15/02/2008"",""86030"",""0.25"",""6"",""15"",""2"",""2008"",""101440"",""121710"",""120400.645"",""0"",""0"",""1"",""0"",""0"""
"Z0951001,""2"",""15/02/2008"",""69540"",""0.2"",""6"",""15"",""2"",""2008"",""76965"",""79980"",""71613.548"",""0"",""0"",""1"",""0"",""0"""
"Z1031001,""3"",""15/02/2008"",""13850"",""0.04"",""6"",""15"",""2"",""2008"",""13380"",""17160"",""22577.419"",""0"",""0"",""1"",""0"",""0"""
"Z1119001,""4"",""15/02/2008"",""52335"",""0.15"",""6"",""15"",""2"",""2008"",""42375"",""70565"",""71185"",""0"",""0"",""1"",""0"",""0"""
"Z1899001,""5"",""15/02/2008"",""27550"",""0.08"",""6"",""15"",""2"",""2008"",""23200"",""53650"",""41019.516"",""0"",""0"",""1"",""0"",""0"""
"Z0241002,""1"",""14/02/2008"",""58925"",""0.17"",""5"",""14"",""2"",""2008"",""129375"",""67040"",""113927.097"",""0"",""0"",""0"",""0"",""0"""
"Z0951001,""2"",""14/02/2008"",""51750"",""0.15"",""5"",""14"",""2"",""2008"",""90500"",""45440"",""68245"",""0"",""0"",""0"",""0"",""0"""
"Z1031001,""3"",""14/02/2008"",""6230"",""0.02"",""5"",""14"",""2"",""2008"",""20620"",""8970"",""19916.935"",""0"",""0"",""0"",""0"",""0"""
"Z1119001,""4"",""14/02/2008"",""24650"",""0.07"",""5"",""14"",""2"",""2008"",""38395"",""39650"",""62337.097"",""0"",""0"",""0"",""0"",""0"""
"Z1899001,""5"",""14/02/2008"",""15010"",""0.04"",""5"",""14"",""2"",""2008"",""43115"",""12565"",""37296.935"",""0"",""0"",""0"",""0"",""0"""
