ATM,Date,Predicted_Withdrawal,Refill_Amount,Stock,Out_of_Cash,Day_Cost
Z1031001,2006-10-03,9019.438149676793,0.0,19979106.274679743,0,0.0
Z1524001,2006-10-03,17463.088191406994,0.0,19962625.744683053,0,0.0
Z0276001,2006-10-04,22660.956947405128,0.0,19895152.81039502,0,0.0
Z0386002,2006-10-04,11542.033919668329,0.0,19930935.739646647,0,0.0
Z0646002,2006-10-04,22747.548164859574,0.0,19905810.618795276,0,0.0
Z1031001,2006-10-04,7796.313921451785,0.0,19971309.96075829,0,0.0
Z1524001,2006-10-04,24025.57589767606,0.0,19938600.16878538,0,0.0
Z0276001,2006-10-05,19697.190716074063,0.0,19875455.619678948,0,0.0
Z0386002,2006-10-05,14078.774757373623,0.0,19916856.964889273,0,0.0
Z0646002,2006-10-05,17199.16187651135,0.0,19888611.456918765,0,0.0
Z1031001,2006-10-05,9399.105850223948,0.0,19961910.854908068,0,0.0
Z1524001,2006-10-05,14567.926307386893,0.0,19924032.24247799,0,0.0
Z0276001,2006-10-06,22814.037088381923,0.0,19852641.582590565,0,0.0
Z0386002,2006-10-06,17079.96362366307,0.0,19899777.00126561,0,0.0
Z0646002,2006-10-06,21670.129727122312,0.0,19866941.327191643,0,0.0
Z1031001,2006-10-06,6751.544803172645,0.0,19955159.310104895,0,0.0
Z1524001,2006-10-06,11775.278218137286,0.0,19912256.96425985,0,0.0
Z0276001,2006-10-07,17738.8369138146,0.0,19834902.745676752,0,0.0
Z0386002,2006-10-07,21028.84546371083,0.0,19878748.1558019,0,0.0
Z0646002,2006-10-07,15815.206142842153,0.0,19851126.1210488,0,0.0
Z1031001,2006-10-07,7112.8168321370285,0.0,19948046.49327276,0,0.0
Z1524001,2006-10-07,16500.013618962454,0.0,19895756.95064089,0,0.0
Z0276001,2006-10-08,12658.15677128027,0.0,19822244.588905472,0,0.0
Z0386002,2006-10-08,10026.567366747531,0.0,19868721.58843515,0,0.0
Z0646002,2006-10-08,19389.869044926607,0.0,19831736.252003875,0,0.0
Z1031001,2006-10-08,6923.513358613934,0.0,19941122.979914144,0,0.0
Z1524001,2006-10-08,12571.879934188142,0.0,19883185.070706703,0,0.0
Z0276001,2006-10-09,86619.43645875507,177755.4110945277,19913380.563541245,0,1777.554110945277
Z0386002,2006-10-09,77044.16299712598,131278.41156484932,19922955.837002873,0,1312.7841156484933
Z0646002,2006-10-09,79219.8591345077,168263.74799612537,19920780.140865494,0,1682.6374799612538
Z1031001,2006-10-09,31590.451791486805,58877.02008585632,19968409.548208512,0,588.7702008585632
Z1524001,2006-10-09,46647.19080791903,116814.92929329723,19953352.80919208,0,1168.1492929329722
Z0276001,2006-10-10,42598.58856164081,0.0,19870781.974979606,0,0.0
Z0386002,2006-10-10,38775.901223505265,0.0,19884179.935779367,0,0.0
Z0646002,2006-10-10,71237.30938578765,0.0,19849542.831479706,0,0.0
Z1031001,2006-10-10,21626.588423382414,0.0,19946782.95978513,0,0.0
Z1524001,2006-10-10,34785.46940035961,0.0,19918567.33979172,0,0.0
Z0276001,2006-10-11,55234.060077763206,0.0,19815547.91490184,0,0.0
Z0386002,2006-10-11,55981.61708951162,0.0,19828198.318689857,0,0.0
Z0646002,2006-10-11,115300.43380257375,0.0,19734242.39767713,0,0.0
Z1031001,2006-10-11,11571.512500221233,0.0,19935211.447284907,0,0.0
Z1524001,2006-10-11,47173.84291547903,0.0,19871393.49687624,0,0.0
Z0276001,2006-10-12,43512.50661936256,0.0,19772035.408282477,0,0.0
Z0386002,2006-10-12,55561.909341213075,0.0,19772636.409348644,0,0.0
Z0646002,2006-10-12,75534.5598197001,0.0,19658707.837857433,0,0.0
Z1031001,2006-10-12,15436.912314914334,0.0,19919774.534969993,0,0.0
Z1524001,2006-10-12,79401.1831219302,0.0,19791992.31375431,0,0.0
Z0276001,2006-10-13,37627.04806474435,0.0,19734408.36021773,0,0.0
Z0386002,2006-10-13,80789.89757013376,0.0,19691846.51177851,0,0.0
Z0646002,2006-10-13,149018.9110507471,0.0,19509688.926806685,0,0.0
Z1031001,2006-10-13,35418.98192324469,0.0,19884355.553046748,0,0.0
Z1524001,2006-10-13,92772.48832744919,0.0,19699219.82542686,0,0.0
Z0276001,2006-10-14,30651.61772168684,0.0,19703756.742496043,0,0.0
Z0386002,2006-10-14,54670.00534186757,0.0,19637176.506436642,0,0.0
Z0646002,2006-10-14,52504.65334744589,0.0,19457184.273459237,0,0.0
Z1031001,2006-10-14,5444.302555964845,0.0,19878911.250490785,0,0.0
Z1524001,2006-10-14,25985.506583795643,0.0,19673234.318843067,0,0.0
Z0276001,2006-10-15,15581.01973768416,0.0,19688175.72275836,0,0.0
