Model      ATM       Date  Predicted_Withdrawal  Refill_Amount   Stock  Refilled  Out_of_Cash  Day_Cost
 LSTM Z1031001 2006-09-18                 8,942              0 133,797         0            0         0
 LSTM Z1031001 2006-09-19                33,514              0 100,283         0            0         0
 LSTM Z1031001 2006-09-20                 3,848              0  96,435         0            0         0
 LSTM Z1031001 2006-09-21                30,593         70,874 136,716         1            0       709
 LSTM Z1031001 2006-09-22                74,840              0  61,876         0            0         0
 LSTM Z1031001 2006-09-23                53,709              0   8,167         0            0         0
 LSTM Z1031001 2006-09-24                 8,167              0       0         0            0         0
 LSTM Z1524001 2006-09-18                43,927        267,325 223,397         1            0     2,673
 LSTM Z1524001 2006-09-19                73,688              0 149,709         0            0         0
 LSTM Z1524001 2006-09-20                54,141              0  95,568         0            0         0
 LSTM Z1524001 2006-09-21                25,492              0  70,076         0            0         0
 LSTM Z1524001 2006-09-22                22,353              0  47,723         0            0         0
 LSTM Z1524001 2006-09-23                33,182              0  14,541         0            0         0
 LSTM Z1524001 2006-09-24                14,541              0       0         0            0         0
 LSTM Z0276001 2006-09-25                90,807        356,295 265,487         1            0     3,563
 LSTM Z0276001 2006-09-26                35,642              0 229,846         0            0         0
 LSTM Z0276001 2006-09-27                51,779              0 178,067         0            0         0
 LSTM Z0276001 2006-09-28                39,360              0 138,707         0            0         0
 LSTM Z0276001 2006-09-29                81,008              0  57,699         0            0         0
 LSTM Z0276001 2006-09-30                38,191              0  19,509         0            0         0
 LSTM Z0276001 2006-10-01                19,509              0       0         0            0         0
 LSTM Z0386002 2006-09-25                62,988        301,321 238,333         1            0     3,013
 LSTM Z0386002 2006-09-26                28,173              0 210,160         0            0         0
 LSTM Z0386002 2006-09-27                90,247              0 119,913         0            0         0
 LSTM Z0386002 2006-09-28                19,245              0 100,668         0            0         0
 LSTM Z0386002 2006-09-29                52,896              0  47,772         0            0         0
 LSTM Z0386002 2006-09-30                27,391              0  20,381         0            0         0
 LSTM Z0386002 2006-10-01                20,381              0       0         0            0         0
 LSTM Z0646002 2006-09-25                42,225        451,743 409,517         1            0     4,517
 LSTM Z0646002 2006-09-26                43,597              0 365,921         0            0         0
 LSTM Z0646002 2006-09-27               121,709              0 244,212         0            0         0
 LSTM Z0646002 2006-09-28               106,359              0 137,852         0            0         0
 LSTM Z0646002 2006-09-29                81,455              0  56,397         0            0         0
 LSTM Z0646002 2006-09-30                36,041              0  20,356         0            0         0
 LSTM Z0646002 2006-10-01                20,356              0       0         0            0         0
 LSTM Z1031001 2006-09-25                 6,493        180,356 173,863         1            0     1,804
 LSTM Z1031001 2006-09-26                27,616              0 146,247         0            0         0
 LSTM Z1031001 2006-09-27                 6,693              0 139,555         0            0         0
 LSTM Z1031001 2006-09-28                47,538              0  92,017         0            0         0
 LSTM Z1031001 2006-09-29                56,622              0  35,395         0            0         0
 LSTM Z1031001 2006-09-30                29,074              0   6,322         0            0         0
 LSTM Z1031001 2006-10-01                 6,322              0       0         0            0         0
 LSTM Z1524001 2006-09-25                43,487        274,933 231,446         1            0     2,749
 LSTM Z1524001 2006-09-26                76,075              0 155,371         0            0         0
 LSTM Z1524001 2006-09-27                52,741              0 102,631         0            0         0
 LSTM Z1524001 2006-09-28                32,807              0  69,824         0            0         0
 LSTM Z1524001 2006-09-29                18,034              0  51,791         0            0         0
 LSTM Z1524001 2006-09-30                26,363              0  25,428         0            0         0
 LSTM Z1524001 2006-10-01                25,428              0       0         0            0         0
 LSTM Z0276001 2006-10-02                73,409        335,181 261,771         1            0     3,352
 LSTM Z0276001 2006-10-03                28,956              0 232,815         0            0         0
 LSTM Z0276001 2006-10-04                65,084              0 167,731         0            0         0
 LSTM Z0276001 2006-10-05                37,825              0 129,906         0            0         0
 LSTM Z0276001 2006-10-06                72,973              0  56,932         0            0         0
 LSTM Z0276001 2006-10-07                43,000         10,000  23,932         1            0       100
 LSTM Z0276001 2006-10-08                23,932              0       0         0            0         0
 LSTM Z0386002 2006-10-02                87,788        340,058 252,270         1            0     3,401
 LSTM Z0386002 2006-10-03                37,050              0 215,219         0            0         0
 LSTM Z0386002 2006-10-04                63,038              0 152,181         0            0         0
 LSTM Z0386002 2006-10-05                20,720              0 131,460         0            0         0
 LSTM Z0386002 2006-10-06                69,014              0  62,446         0            0         0
 LSTM Z0386002 2006-10-07                38,790              0  23,656         0            0         0
 LSTM Z0386002 2006-10-08                23,656              0       0         0            0         0
 LSTM Z0646002 2006-10-02                60,914        350,754 289,840         1            0     3,508
 LSTM Z0646002 2006-10-03                30,455              0 259,385         0            0         0
 LSTM Z0646002 2006-10-04                50,051              0 209,333         0            0         0
 LSTM Z0646002 2006-10-05                75,734              0 133,599         0            0         0
 LSTM Z0646002 2006-10-06                76,641              0  56,958         0            0         0
 LSTM Z0646002 2006-10-07                38,487              0  18,471         0            0         0
 LSTM Z0646002 2006-10-08                18,471              0       0         0            0         0
