Model,ATM,Date,Predicted_Withdrawal,Refill_Amount,Stock,Refilled,Out_of_Cash,Day_Cost
LSTM,Z1524001,2006-09-11,45188.26455495881,0.0,160475.32,0,0,0.0
LSTM,Z1524001,2006-09-12,67592.78087934965,0.0,92882.535,0,0,0.0
LSTM,Z1524001,2006-09-13,36624.93304178783,0.0,56257.602,0,0,0.0
LSTM,Z1524001,2006-09-14,46225.737797106936,0.0,10031.864,0,0,0.0
LSTM,Z1524001,2006-09-15,62322.26406471908,106682.45,54392.047,1,0,1066.8245
LSTM,Z1524001,2006-09-16,24812.315106480146,0.001,29579.733,1,0,1e-05
LSTM,Z1524001,2006-09-17,29579.733685338146,0.001,0.0,1,0,1e-05
LSTM,Z0276001,2006-09-18,125354.32106041178,466000.56,340646.24,1,0,4660.0056
LSTM,Z0276001,2006-09-19,85047.46628303532,0.0,255598.77,0,0,0.0
LSTM,Z0276001,2006-09-20,51536.85526331194,0.0,204061.92,0,0,0.0
LSTM,Z0276001,2006-09-21,36656.07481924138,0.0,167405.84,0,0,0.0
LSTM,Z0276001,2006-09-22,101103.7190694907,0.0,66302.122,0,0,0.0
LSTM,Z0276001,2006-09-23,47841.13376993905,0.0,18460.989,0,0,0.0
LSTM,Z0276001,2006-09-24,18460.988507086462,0.0,0.0,0,0,0.0
LSTM,Z0386002,2006-09-18,47033.09337445775,351180.45,304147.36,1,0,3511.8045
LSTM,Z0386002,2006-09-19,137065.00476655585,0.0,167082.36,0,0,0.0
LSTM,Z0386002,2006-09-20,35782.50546720233,0.0,131299.85,0,0,0.0
LSTM,Z0386002,2006-09-21,45403.08395227048,0.0,85896.767,0,0,0.0
LSTM,Z0386002,2006-09-22,50008.29269032827,0.0,35888.474,0,0,0.0
LSTM,Z0386002,2006-09-23,22727.950073401986,0.0,13160.524,0,0,0.0
LSTM,Z0386002,2006-09-24,13160.524260302705,0.0,0.0,0,0,0.0
LSTM,Z0646002,2006-09-18,102151.60430367962,374282.64,272131.03,1,0,3742.8264000000004
LSTM,Z0646002,2006-09-19,78518.51751046898,0.0,193612.51,0,0,0.0
LSTM,Z0646002,2006-09-20,92489.8182375535,0.0,101122.7,0,0,0.0
LSTM,Z0646002,2006-09-21,31382.23845325208,0.0,69740.457,0,0,0.0
LSTM,Z0646002,2006-09-22,34158.07819208947,0.0,35582.379,0,0,0.0
LSTM,Z0646002,2006-09-23,25391.74397834363,0.0,10190.635,0,0,0.0
LSTM,Z0646002,2006-09-24,10190.634807882076,0.0,0.0,0,0,0.0
LSTM,Z1031001,2006-09-18,37988.96854494432,205966.42,176015.72,1,0,2059.6642
LSTM,Z1031001,2006-09-19,16316.264384038966,0.0,159699.45,0,0,0.0
LSTM,Z1031001,2006-09-20,7337.575236861713,0.0,152361.88,0,0,0.0
LSTM,Z1031001,2006-09-21,80255.54336021164,0.0,72106.336,0,0,0.0
LSTM,Z1031001,2006-09-22,59972.171995955156,0.0,12134.164,0,0,0.0
LSTM,Z1031001,2006-09-23,6121.468856127838,0.0,6012.6952,0,0,0.0
LSTM,Z1031001,2006-09-24,6012.6951631845695,0.0,0.0,0,0,0.0
LSTM,Z1524001,2006-09-18,57011.93332207016,276645.31,219633.38,1,0,2766.4531
LSTM,Z1524001,2006-09-19,53079.00310689047,0.0,166554.38,0,0,0.0
LSTM,Z1524001,2006-09-20,36225.1292482807,0.0,130329.25,0,0,0.0
LSTM,Z1524001,2006-09-21,31658.17276988547,0.0,98671.075,0,0,0.0
LSTM,Z1524001,2006-09-22,49717.858145197635,0.0,48953.217,0,0,0.0
LSTM,Z1524001,2006-09-23,26550.44867654886,0.0,22402.768,0,0,0.0
LSTM,Z1524001,2006-09-24,22402.768076252203,0.0,0.0,0,0,0.0
LSTM,Z0276001,2006-09-25,132371.74008639337,463048.15,330676.41,1,0,4630.481500000001
